wage,hours,iq,kww,educ,exper,tenure,age,married,black,south,urban,sibs,brthord,meduc,feduc,distance
866,40,111,44,14,16,14,35,1,0,0,1,1,1,12,12,63.505318
866,40,114,48,13,15,16,37,1,0,1,1,3,1,12,,61.244812
866,40,85,26,12,11,12,30,1,1,1,0,8,5,6,0,53.895645
872,45,115,30,15,7,4,29,1,0,0,1,3,1,12,18,63.978172
873,65,95,36,12,14,3,38,1,0,0,1,5,1,10,10,56.16251
873,44,109,25,12,12,12,28,1,0,1,0,1,1,,11,57.3745
874,55,132,37,13,8,2,33,1,0,0,0,2,1,13,16,61.967659
875,36,95,22,12,16,2,38,0,1,1,0,8,9,6,,50.022655
875,50,124,40,16,9,3,31,0,0,0,0,2,2,17,16,64.686752
876,45,116,35,16,10,8,29,1,0,0,1,2,1,12,12,65.993317
879,40,118,41,18,1,9,31,1,0,0,1,1,2,13,13,67.120895
879,70,90,43,12,17,10,35,0,0,0,1,1,2,12,16,51.878181
881,40,90,41,12,4,14,36,1,0,0,0,2,3,12,,55.736736
882,44,96,34,12,15,13,31,1,0,0,0,6,3,8,10,55.380703
884,40,106,42,10,19,12,34,1,0,0,1,2,1,7,10,30.294868
884,40,108,40,17,9,11,35,1,0,0,1,3,2,14,9,66.802338
884,46,120,45,17,4,10,36,1,0,0,0,2,1,12,18,66.439697
888,50,105,36,15,9,5,32,0,0,0,1,2,2,12,10,63.855331
889,36,116,37,12,12,11,28,1,0,1,1,1,2,9,12,49.971748
890,60,92,20,14,9,8,32,1,0,0,1,1,2,7,7,63.021935
890,48,100,40,12,4,8,31,1,0,1,0,0,1,,,44.318207
890,70,73,46,12,6,8,31,1,0,0,1,3,1,12,12,45.79734
891,40,90,36,12,16,16,32,1,0,1,0,5,5,12,9,56.246086
894,40,104,35,18,7,10,35,1,0,1,0,7,8,9,8,67.252052
898,40,101,41,16,7,9,35,0,0,0,1,3,4,16,14,65.629768
900,40,86,28,12,17,15,37,1,0,0,1,5,3,8,10,51.779217
900,40,119,39,16,8,9,30,1,0,0,0,1,2,12,12,65.415581
900,40,78,21,12,16,5,33,1,1,0,1,4,1,7,6,46.500946
900,55,100,27,12,18,5,34,0,0,0,1,2,2,8,,59.50515
900,40,98,36,14,1,8,30,1,1,1,0,7,2,10,6,63.550488
900,40,54,37,14,12,3,31,1,0,1,1,2,1,12,12,62.452469
900,40,80,34,10,15,14,38,1,0,1,0,3,3,12,10,24.163342
900,40,103,38,12,15,1,37,1,0,1,0,3,3,8,6,50.262978
903,40,91,39,12,6,12,36,1,0,0,1,5,4,9,10,56.310619
905,40,102,31,12,17,4,37,1,0,0,0,5,5,12,12,57.816967
905,45,109,41,14,11,14,36,1,0,0,1,3,4,8,8,62.554504
906,40,120,40,14,16,2,37,1,0,0,1,5,1,12,12,62.388779
909,55,97,39,11,17,5,35,1,0,0,1,7,3,,,42.845989
909,40,102,34,12,14,5,33,1,0,0,1,3,3,12,7,48.742393
909,40,95,39,13,6,2,31,1,0,0,1,2,1,12,12,60.764183
910,30,95,27,12,16,5,35,1,0,1,1,2,3,12,14,54.968002
912,40,96,32,16,11,5,30,1,0,0,1,2,2,14,12,65.129623
913,40,110,26,14,4,13,29,1,0,0,1,3,4,9,,63.243736
913,40,101,33,16,5,7,31,1,0,0,1,2,3,12,,65.287567
921,38,102,45,14,9,11,33,1,0,0,0,1,2,16,,63.068966
923,40,105,54,18,7,14,34,1,0,0,1,1,1,12,12,67.093216
923,50,122,38,16,10,10,31,1,0,0,0,1,2,8,8,65.277893
923,50,107,30,16,9,8,33,1,0,0,1,6,4,9,8,65.973747
923,40,118,36,14,8,16,35,1,1,0,1,5,1,7,,63.415085
923,40,110,39,16,15,11,37,1,0,0,0,2,1,12,7,64.443367
923,50,123,44,14,8,7,31,1,0,0,1,1,2,8,,62.585297
925,40,75,27,12,12,9,30,1,0,1,0,2,2,6,,56.391953
926,55,64,22,12,18,0,38,1,0,0,1,4,5,0,2,47.142902
929,40,97,28,13,12,5,30,1,0,1,1,2,1,12,12,62.061958
930,43,132,44,18,8,13,38,1,0,0,0,1,1,13,14,67.408257
931,80,108,40,16,4,1,36,1,0,0,1,4,2,12,12,64.358879
935,44,97,27,12,10,6,29,1,0,0,1,2,2,8,7,59.42123
937,40,104,37,12,14,15,32,1,0,1,0,1,2,12,9,46.010193
937,40,102,36,12,16,8,35,1,0,0,1,3,2,12,6,60.599953
938,44,108,41,12,19,20,38,1,0,0,1,0,1,8,,57.796192
938,50,130,39,14,15,1,33,1,0,0,0,3,1,12,11,63.326294
940,45,102,46,14,11,7,36,1,0,0,1,1,2,12,10,62.697762
940,48,104,25,12,13,0,32,1,1,0,1,7,2,12,8,48.770798
940,45,102,30,13,15,12,30,1,1,1,1,2,2,,,62.227444
940,40,71,20,11,9,2,29,1,0,0,0,2,3,,,41.9249
940,45,98,41,18,10,7,31,1,0,1,1,2,2,8,12,67.453384
942,40,85,36,12,7,10,38,1,0,0,1,4,5,,,48.159786
945,40,87,41,12,12,13,38,1,0,1,1,2,2,8,,54.865376
947,48,104,41,18,8,13,35,1,0,0,0,3,2,9,12,67.234589
950,40,98,40,12,11,6,30,1,0,0,1,3,4,12,12,60.161381
950,40,96,38,12,14,2,35,1,0,0,1,1,1,8,2,55.637451
950,40,86,31,10,23,5,38,1,0,1,1,9,9,,6,33.584972
950,40,81,29,11,16,5,35,1,0,1,0,3,4,10,6,40.570816
950,44,96,26,16,8,10,32,1,1,1,1,1,2,10,,64.317612
950,60,98,36,11,13,6,31,1,0,0,1,2,1,12,12,39.580017
951,40,86,33,11,13,1,31,1,0,0,1,3,4,9,,40.131844
951,60,116,40,12,9,7,30,1,0,0,1,4,5,12,9,44.659676
952,40,99,34,13,10,10,31,1,1,0,1,1,1,8,10,61.918587
958,60,98,42,12,11,9,28,1,0,0,1,0,1,12,11,48.52718
958,50,105,37,10,17,2,35,1,0,0,1,1,2,6,8,36.883923
960,40,107,23,12,11,9,29,1,1,1,1,11,2,6,9,56.866459
961,40,76,17,12,13,13,31,0,1,0,1,13,5,,8,52.436596
962,40,120,25,16,6,4,28,1,0,0,0,4,3,12,8,65.596611
962,55,108,45,12,19,21,36,1,0,0,1,3,1,8,8,60.43396
962,40,97,42,12,15,4,34,1,0,1,0,5,1,10,8,45.894234
962,50,105,45,14,15,2,37,1,0,1,1,3,4,8,4,62.628036
962,40,93,46,12,15,1,30,1,0,0,1,2,2,9,12,57.614441
962,40,112,46,15,8,2,37,1,0,0,1,2,1,12,16,63.92149
962,40,110,34,12,16,8,33,1,0,0,1,2,1,10,10,56.553692
962,50,97,34,16,7,2,30,1,0,1,1,0,1,12,12,64.660995
962,40,85,41,10,15,16,38,1,0,0,1,1,2,9,12,29.314201
962,50,109,44,12,21,12,37,1,0,1,0,0,1,6,,60.692543
962,40,120,39,16,8,9,32,1,0,0,0,0,1,18,,64.722824
962,50,124,43,16,7,14,34,1,0,0,1,2,2,9,11,65.43158
963,40,85,32,14,9,9,28,1,1,1,1,5,1,7,,63.29044
971,40,95,42,17,5,11,37,1,0,0,1,1,2,16,8,66.676086
973,36,81,33,13,11,5,32,1,0,1,1,0,1,6,9,62.130272
975,40,97,39,13,8,0,31,1,0,0,1,3,1,12,12,61.570114
975,40,101,33,13,12,10,30,1,0,0,0,3,3,12,13,62.248848
978,48,104,36,12,19,15,36,1,0,0,1,5,6,6,,57.967216
978,45,89,47,12,17,2,38,1,0,0,1,0,1,12,,57.839222
981,40,122,41,14,9,15,35,0,0,0,1,3,2,12,,63.161369
984,40,108,39,13,17,18,37,1,0,0,1,4,1,15,8,62.172588
987,40,96,23,12,11,5,29,1,0,1,0,1,2,12,12,58.514706
987,38,109,41,16,9,3,31,1,0,1,1,3,4,4,,65.098785
988,48,91,39,12,15,15,36,1,0,1,1,1,2,8,8,49.810364
990,40,108,42,13,13,9,33,1,0,0,0,4,1,16,16,61.326595
990,40,67,23,12,16,3,34,1,1,0,1,2,1,8,8,59.935059
995,40,92,23,9,22,13,38,1,1,0,1,7,3,7,4,8.1840696
996,50,114,41,12,5,14,31,1,0,0,1,2,1,12,10,49.527679
1000,40,101,36,12,16,1,35,1,0,1,1,1,1,12,,56.215759
1000,40,103,40,12,17,2,34,1,0,0,1,1,1,8,,53.605141
1000,40,95,44,12,16,16,36,1,0,0,1,1,1,12,11,56.630424
1000,40,107,32,12,17,18,35,1,0,1,0,5,1,,,46.0895
1000,40,112,47,14,15,4,35,1,0,0,1,4,1,12,10,62.741547
1000,50,104,36,16,11,8,30,1,0,0,1,1,1,12,11,64.961174
1000,40,96,34,16,9,1,31,0,0,1,1,4,2,12,7,66.319153
1000,50,97,45,12,17,15,36,1,0,0,1,1,2,12,12,59.570686
1000,44,103,37,12,9,5,29,1,0,1,1,0,1,11,,58.333126
1000,40,96,40,11,15,15,37,1,0,0,1,5,5,8,9,37.439445
1000,40,110,42,12,6,12,37,1,0,0,1,5,2,8,12,59.800285
1000,45,90,42,12,16,0,38,1,0,0,1,6,3,10,12,59.120781
1000,48,105,39,12,11,4,28,1,0,1,0,0,1,12,7,59.940067
1000,43,69,31,12,15,16,35,1,0,0,1,4,4,12,8,49.879459
1000,60,101,30,12,11,6,30,1,0,0,1,3,1,10,10,44.117603
1000,65,93,32,12,11,9,29,1,0,0,1,7,1,12,8,45.11216
1000,45,118,38,14,9,7,30,1,0,0,1,3,1,12,10,63.467464
1000,40,93,26,11,11,0,29,1,0,1,1,5,3,12,12,43.175285
1000,40,100,42,12,16,14,32,1,0,1,1,2,3,12,12,57.768089
1000,45,123,41,12,12,1,29,1,0,0,1,3,3,12,10,58.164948
1000,40,89,31,12,9,5,28,1,0,0,1,2,3,13,12,60.221268
1000,44,113,41,17,8,2,34,1,0,1,1,4,1,17,18,66.85141
1000,40,89,40,12,17,8,38,1,0,1,1,7,7,1,4,56.459621
1000,40,72,20,12,16,9,34,1,0,0,1,3,4,12,12,58.719479
1000,45,103,29,15,8,3,32,1,0,0,1,3,4,12,,64.1054
1000,40,102,46,16,13,11,35,1,0,0,1,6,2,10,12,64.661636
1000,55,114,41,16,10,1,33,1,0,1,0,0,1,,,66.113449
1000,40,121,35,13,6,1,33,1,0,0,1,2,2,8,14,62.15419
1001,48,137,36,13,11,11,33,1,0,0,0,5,6,12,,61.540352
1001,34,77,22,12,12,3,29,1,1,1,1,9,8,3,4,56.382599
1001,40,109,48,12,20,22,37,1,0,0,1,1,1,8,10,60.121254
1004,40,81,36,12,17,15,34,1,0,1,0,1,1,12,,59.154224
1009,40,118,37,16,11,12,32,1,0,1,0,0,1,12,10,65.033257
1010,50,104,37,11,15,7,38,1,0,0,0,6,1,9,6,42.523468
1010,40,97,42,18,7,14,34,1,0,0,1,4,5,14,,67.35025
1011,40,104,43,12,20,7,37,1,0,1,1,0,1,,,60.307346
1014,55,110,42,16,13,9,30,0,0,0,1,1,2,12,14,65.247925
1015,40,67,31,12,15,11,32,1,1,0,1,3,2,9,5,49.570786
1016,40,72,18,10,14,15,37,1,1,0,1,8,9,11,,35.516617
1025,48,104,30,14,6,5,32,1,0,0,1,2,3,,12,62.950882
1025,40,85,29,15,9,13,29,1,1,0,1,6,1,14,12,63.90062
1025,40,104,25,12,12,7,29,1,0,0,1,3,4,12,10,58.748737
1026,45,85,46,12,4,16,38,1,0,0,1,1,2,,,57.0322
1026,45,125,33,12,11,11,28,1,0,0,1,3,1,14,17,55.159286
1026,45,113,27,16,9,13,30,1,0,1,1,2,2,16,14,64.888527
1026,60,105,34,16,12,1,35,1,0,0,1,3,1,14,10,64.917717
1027,27,100,40,13,12,15,38,1,0,0,1,3,3,10,9,60.947929
1027,45,115,41,12,16,7,35,1,0,0,1,4,3,8,5,53.785126
1028,40,111,28,12,19,12,37,1,1,1,1,3,4,12,,58.852257
1031,40,112,24,14,9,5,29,1,0,0,1,4,2,12,12,63.05534
1031,40,112,43,14,14,12,33,0,0,0,1,6,6,14,12,62.8027
1034,40,97,39,12,15,16,36,1,0,0,1,14,10,14,11,59.533127
1035,48,107,42,12,21,14,38,1,0,0,1,1,2,11,8,59.682663
1038,48,103,36,15,8,2,36,1,0,1,0,2,1,12,15,63.903049
1038,50,119,42,12,20,5,36,1,0,0,0,3,3,12,8,58.749851
1039,40,113,49,14,12,8,34,1,0,0,1,1,2,16,14,62.503471
1039,40,114,43,16,1,9,31,0,0,1,1,6,5,8,8,66.122543
1040,40,115,49,15,8,15,35,1,0,0,1,3,4,,11,63.829887
1040,48,108,36,12,16,17,35,1,0,1,1,6,7,7,3,44.580616
1040,40,101,38,12,19,9,38,1,1,1,1,6,1,11,12,45.563919
1049,55,120,39,12,9,11,32,1,0,0,1,3,2,12,10,59.779465
1049,44,122,39,16,7,3,33,1,0,0,0,3,3,10,12,64.757347
1049,50,112,45,14,6,10,32,1,0,0,0,3,3,12,10,63.116146
1050,40,119,37,16,7,18,37,0,0,0,1,2,2,12,13,65.253021
1050,50,97,31,15,4,9,31,1,1,1,1,2,1,16,9,63.756031
1053,40,90,33,12,18,7,37,1,0,1,0,1,1,11,11,53.629017
1053,38,114,35,16,12,7,32,1,0,0,1,0,1,11,11,66.306107
1058,40,94,40,14,13,14,34,1,0,0,1,0,1,15,9,63.539261
1058,40,120,44,16,16,13,37,1,0,0,0,5,4,12,4,64.594269
1058,40,85,50,12,17,8,38,1,0,0,0,4,1,12,,45.421677
1058,40,85,48,12,18,19,35,1,0,0,1,2,1,9,12,55.432434
1058,45,98,45,14,14,15,34,1,0,0,0,2,3,,,63.270737
1063,40,90,38,12,14,12,32,1,1,0,1,2,2,8,12,58.23534
1065,65,104,39,16,10,11,34,1,0,1,1,2,3,11,12,66.260674
1065,40,97,40,12,21,10,36,1,0,1,1,1,1,12,,53.296474
1070,40,91,42,12,13,1,30,1,0,0,1,1,2,14,12,51.520164
1070,40,124,41,13,4,9,32,1,0,0,1,0,1,,,61.117863
1072,42,104,37,16,6,8,35,1,0,0,1,2,2,12,6,65.905632
1075,40,115,28,14,9,10,30,1,0,0,0,2,1,12,10,63.334694
1075,40,103,31,12,17,10,33,1,0,0,1,13,3,11,11,56.609325
1076,45,105,24,12,5,8,31,0,0,0,1,1,1,16,17,50.210835
1076,38,106,42,12,19,20,36,1,0,1,1,1,1,12,9,58.476227
1079,50,87,33,12,18,9,36,1,0,0,1,5,5,8,,51.372017
1081,40,123,46,18,11,7,36,1,0,0,0,1,1,12,12,67.050018
1081,40,114,50,18,8,14,38,1,0,0,1,2,3,8,,67.110687
1081,40,92,34,13,8,2,30,1,0,1,1,3,4,12,10,61.070641
1082,40,111,44,13,20,12,36,1,0,0,1,4,2,8,11,61.731369
1082,55,95,40,12,11,4,29,1,1,0,1,2,2,11,,52.522808
1084,45,95,38,15,17,10,37,1,0,0,1,1,2,16,16,63.80558
1091,50,88,31,13,13,4,37,1,0,0,1,4,1,12,,61.788948
1092,44,110,34,16,15,13,36,1,0,0,1,4,4,13,13,64.431976
1097,50,80,27,11,12,12,28,1,0,0,0,5,1,12,11,38.231686
1098,45,105,22,14,6,1,32,0,0,1,1,1,2,12,,62.719284
1100,40,122,38,14,11,8,33,1,0,0,1,2,3,8,10,62.883148
1100,40,92,37,13,21,12,38,1,1,0,1,6,6,12,,61.279991
1100,37,100,32,12,14,1,30,1,0,0,1,1,2,7,7,50.788483
1100,40,91,41,12,18,10,36,1,0,0,0,2,3,8,8,52.088242
1100,40,104,41,12,18,7,37,1,0,0,1,2,3,11,13,57.33725
1100,40,105,45,12,22,14,38,1,0,0,1,1,1,12,12,48.288494
1100,50,117,51,16,11,12,32,1,0,0,0,0,1,12,10,64.422485
1104,54,96,39,12,11,4,29,1,0,1,0,1,2,10,12,53.405224
1105,40,103,32,13,10,11,30,1,0,0,1,1,1,16,15,61.775204
1105,40,104,29,16,5,8,29,1,0,0,1,3,1,12,12,64.555603
1105,40,93,36,11,17,16,37,0,0,0,1,2,2,8,8,40.812439
1105,40,119,32,16,9,10,30,0,0,1,1,5,1,11,10,65.471329
1107,40,112,38,12,12,5,38,1,0,0,1,5,3,11,12,56.822823
1110,52,106,42,12,11,6,33,1,0,0,0,5,2,12,12,47.969131
1111,45,90,47,12,18,18,37,1,0,0,1,6,3,,,56.675076
1111,40,98,32,14,10,1,29,1,0,0,1,3,1,12,15,62.379002
1111,45,118,43,15,11,3,32,1,0,0,1,3,1,11,10,64.228966
1111,40,103,33,14,13,13,31,1,0,0,0,6,3,14,12,63.612751
1115,40,118,40,16,12,13,33,1,0,0,1,1,1,8,,64.869431
1122,48,111,44,15,12,9,31,1,0,0,1,3,1,9,12,64.038704
1122,35,132,45,18,13,8,32,1,0,1,1,2,3,12,7,67.314468
1122,60,102,54,17,7,13,32,1,0,1,1,2,2,12,11,66.766701
1126,40,119,30,16,5,8,32,1,0,0,1,1,1,12,10,65.462776
1126,40,110,26,12,16,2,32,1,0,0,1,6,1,9,12,58.795502
1126,40,116,33,12,5,0,31,1,1,0,1,9,5,9,10,52.588333
1127,40,98,45,12,17,12,36,1,0,1,1,1,2,14,12,55.832287
1130,50,105,38,12,18,2,37,1,0,0,1,4,2,10,10,54.624969
1130,40,109,40,18,4,13,38,1,0,0,0,1,2,18,15,67.476158
1133,40,106,44,16,13,10,36,1,0,1,0,1,1,12,,65.045898
1136,50,117,36,14,16,12,34,1,0,1,1,2,3,12,12,62.662537
1140,48,109,43,12,16,15,35,1,0,0,1,2,2,11,6,43.985096
1143,35,97,40,12,21,8,38,1,0,0,1,5,1,12,12,47.717762
1151,48,87,41,12,18,9,38,1,0,0,1,2,1,12,12,51.65744
1151,45,90,38,12,19,19,36,1,0,0,1,1,1,12,8,60.542179
1151,40,98,34,12,12,12,29,1,0,0,1,3,4,12,8,57.455544
1154,40,109,42,16,12,9,34,1,0,0,1,0,1,13,16,65.772209
1154,42,88,32,12,14,12,29,1,0,1,1,2,2,12,7,47.581882
1154,40,134,46,18,10,10,37,1,0,1,1,2,1,12,12,67.266792
1154,45,111,37,15,13,1,36,1,0,0,0,2,3,14,5,63.71777
1154,40,116,42,15,11,12,34,0,0,0,0,2,1,12,9,64.233612
1154,50,109,46,16,10,3,35,1,0,1,1,2,1,16,14,66.326538
1154,40,117,38,16,11,12,35,1,0,1,1,5,5,17,18,65.965813
1155,60,106,46,18,10,2,37,1,0,0,1,3,3,14,18,67.303139
1155,40,102,36,12,16,5,34,1,0,0,1,1,2,12,,59.466843
1155,45,85,39,12,14,1,34,1,0,0,1,2,1,12,12,54.9161
1155,40,109,49,17,13,4,38,1,0,0,0,3,3,12,8,66.682579
1155,40,117,25,13,9,1,28,1,0,0,1,3,2,12,12,61.4426
1160,40,74,18,12,14,1,33,1,1,1,1,9,6,3,4,53.264572
1160,40,92,32,12,8,8,31,1,0,0,0,4,1,12,11,56.734959
1160,40,84,35,12,17,2,38,1,0,0,0,4,2,16,12,47.497349
1161,40,99,43,13,16,18,36,1,0,0,1,0,1,12,8,61.223724
1161,50,121,40,12,5,10,34,1,0,0,1,5,6,10,,50.963226
1162,48,102,40,16,8,11,31,1,0,0,1,3,2,12,,64.809349
1162,45,89,39,12,11,4,37,1,0,1,1,3,3,15,,53.980141
1170,47,123,45,14,9,14,32,1,0,0,1,3,4,8,12,63.090931
1175,45,111,38,12,17,14,34,1,0,0,1,0,1,16,4,47.083809
1186,30,91,41,17,8,9,33,1,0,0,1,1,1,12,14,66.437492
1188,40,93,40,13,16,5,35,1,0,0,1,2,1,12,8,61.359638
1188,40,105,28,12,11,7,30,1,0,0,1,3,1,12,10,59.835045
1190,40,119,38,17,4,2,34,1,0,0,1,0,1,12,14,66.772041
1193,50,82,38,12,19,10,36,1,0,1,1,0,1,12,,49.108528
1196,45,96,45,14,10,4,32,1,0,1,0,2,3,10,6,63.482254
1198,32,117,39,16,7,9,30,1,0,1,1,1,2,12,12,65.93856
1199,43,70,28,13,13,5,30,1,1,1,1,3,1,8,,61.434231
1200,40,108,29,12,16,11,33,1,0,0,1,3,2,8,,51.250946
1200,50,84,13,12,13,9,32,1,0,0,1,5,2,6,6,56.960793
1200,42,119,28,16,11,5,30,1,0,0,1,5,1,10,11,66.220123
1200,40,109,42,15,7,8,33,1,0,0,1,2,1,11,12,64.006264
1200,40,96,26,9,18,0,34,1,0,0,1,4,3,,8,11.431541
1200,40,96,48,11,15,3,37,1,0,0,1,4,3,8,8,43.394585
1200,50,99,37,12,11,11,28,1,0,0,1,5,4,10,8,50.051113
1200,40,79,32,17,9,9,32,1,0,0,1,0,1,8,8,66.384659
1200,40,103,27,14,5,2,30,1,0,0,1,1,1,6,7,62.825577
1200,40,97,35,12,10,4,31,1,0,0,1,3,1,12,12,50.745171
1201,50,98,38,11,17,16,36,1,0,1,0,4,5,11,2,42.435371
1202,48,114,28,16,6,6,28,1,0,0,1,3,3,16,16,64.99839
1202,40,101,40,15,15,17,37,1,0,0,1,3,2,12,12,64.305099
1202,40,102,32,13,10,3,31,1,0,1,1,7,7,8,6,61.831821
1202,40,131,32,16,10,2,33,1,0,0,0,3,2,12,12,64.785355
1202,40,125,30,14,10,11,29,1,0,0,1,2,3,12,12,63.034645
1202,40,84,21,14,6,5,31,1,1,0,1,2,1,11,9,63.627781
1202,40,124,23,15,11,8,28,1,0,0,1,2,2,10,,63.748718
1202,40,100,40,12,18,2,37,1,0,0,1,0,1,12,12,45.53545
1205,40,86,32,10,13,0,32,1,1,0,1,5,5,8,,29.803659
1206,40,110,37,12,16,4,38,1,0,0,1,1,1,12,12,59.689335
1211,27,92,33,12,13,3,31,1,0,0,1,3,2,16,12,43.710613
1212,40,95,36,12,6,16,38,1,0,1,0,3,1,12,8,53.026489
1212,40,129,33,14,9,3,32,0,0,0,1,6,7,8,9,62.462517
1223,40,107,34,12,7,3,28,1,0,0,0,1,1,12,10,60.671913
1225,40,118,44,13,9,14,32,1,0,0,1,0,1,12,9,61.602421
1230,50,96,33,13,11,12,30,1,0,0,1,3,2,10,11,61.613029
1235,40,82,45,12,10,2,33,1,0,0,1,1,1,11,11,60.237808
1239,45,109,44,12,16,4,38,1,0,0,1,3,3,12,,58.387772
1241,40,83,51,13,9,10,33,1,0,1,1,2,3,12,12,61.001114
1250,40,92,42,16,10,11,32,0,0,1,1,1,1,12,10,65.842239
1250,40,114,37,16,8,8,30,1,0,0,1,5,3,2,8,66.157555
1250,40,95,23,12,12,2,32,1,0,0,1,2,2,12,12,60.723644
1250,40,117,31,14,7,1,28,1,0,0,1,1,2,12,12,62.906116
1250,44,96,32,12,19,20,38,1,0,0,1,2,1,12,12,54.659599
1250,46,110,37,12,5,16,38,1,0,0,0,1,1,,12,56.029591
1250,60,115,40,11,19,4,38,1,0,0,1,1,2,,,41.644138
1250,32,104,32,13,13,3,33,1,0,0,1,3,3,9,,61.878021
1250,40,125,27,16,9,10,30,1,0,0,1,3,1,16,,65.587898
1250,40,102,30,13,13,11,30,1,0,1,1,5,6,7,,62.330246
1250,40,117,45,16,10,7,33,1,0,0,1,1,1,12,14,64.543495
1250,40,115,36,14,9,1,29,1,0,0,1,2,2,12,12,62.780128
1250,40,91,28,12,13,1,34,1,0,0,1,3,1,11,5,58.98579
1250,50,102,26,12,6,2,32,0,0,0,1,4,2,11,8,51.868378
1250,32,98,40,12,17,2,33,1,0,0,1,0,1,14,10,57.70285
1250,40,106,36,12,14,19,35,1,0,0,1,4,1,11,13,50.838894
1260,45,79,39,12,19,15,37,1,0,0,0,3,2,9,8,52.772133
1260,45,106,37,12,5,3,29,1,0,0,1,2,1,12,13,60.472977
1261,40,117,41,17,1,9,35,1,0,0,1,4,1,6,8,66.641678
1270,40,84,40,12,11,12,30,1,0,0,1,2,2,12,12,46.219101
1270,40,104,34,16,8,4,31,1,0,1,1,3,4,16,17,64.860474
1270,40,118,42,14,4,16,36,1,0,0,1,2,1,12,12,63.39539
1272,40,107,39,12,10,1,30,1,0,0,1,4,3,12,12,59.71777
1273,55,84,42,18,14,4,37,1,0,0,1,1,1,8,12,66.968025
1273,55,120,44,14,11,16,36,1,0,0,0,1,1,12,,62.569939
1274,40,106,35,13,11,12,31,1,0,0,1,0,1,15,12,62.025459
1275,40,123,37,14,9,1,31,1,0,0,1,0,1,12,,63.195473
1282,60,96,24,18,7,5,32,1,0,1,1,4,2,12,18,66.886932
1282,45,121,39,18,7,13,32,1,0,0,1,2,2,12,12,67.214363
1282,45,112,41,16,6,6,31,0,0,1,1,2,2,12,12,65.494926
1282,45,97,48,16,4,1,32,1,0,0,1,11,3,16,16,64.577377
1299,60,125,44,18,6,12,35,0,0,0,1,1,2,8,8,67.059784
1300,40,78,40,13,12,3,33,1,0,1,1,2,3,12,12,62.069317
1300,35,100,38,12,13,15,31,1,0,0,1,4,2,11,,60.345848
1304,45,119,36,17,9,9,31,1,0,0,0,1,1,13,12,66.846092
1312,40,118,39,10,14,4,32,1,0,0,1,0,1,12,8,34.613434
1318,35,118,47,16,16,17,37,1,0,0,0,1,1,8,12,66.273758
1318,38,119,24,16,7,2,28,1,0,0,1,3,1,10,10,66.370102
1322,40,128,43,16,7,1,33,1,0,1,1,0,1,18,,64.892441
1325,45,97,44,12,12,5,28,1,0,0,1,1,2,12,8,59.659637
1329,55,115,56,18,10,5,36,1,0,0,1,1,1,12,12,67.33503
1333,60,106,38,15,5,1,30,1,0,1,1,2,2,12,12,63.838509
1333,45,112,50,16,14,8,38,1,0,1,1,1,2,12,4,65.178917
1333,45,103,30,16,7,1,34,1,0,0,1,3,1,,,66.203552
1339,38,96,42,12,8,9,33,1,0,0,1,0,1,12,11,57.923508
1346,40,134,42,15,15,7,35,1,0,0,1,2,1,12,10,64.069405
1346,45,60,34,16,8,2,31,1,0,1,1,2,3,,,64.947044
1346,40,90,44,16,9,16,38,1,0,0,1,1,1,12,12,66.137085
1346,40,106,38,16,15,11,37,1,0,0,1,1,1,8,14,65.191513
1346,40,112,39,16,14,14,35,1,0,0,1,0,1,12,16,65.851311
1346,50,128,46,16,10,1,33,0,0,0,0,3,1,10,9,65.748665
1346,50,108,51,16,9,4,36,1,0,0,1,1,2,12,10,64.631821
1350,40,107,37,12,17,12,35,1,0,0,0,2,3,,,60.492767
1354,40,119,49,17,13,9,35,0,0,0,0,2,1,16,16,66.524734
1360,45,109,39,15,6,9,36,1,0,0,1,3,3,12,10,64.190308
1366,40,90,35,12,13,1,30,1,0,0,1,3,3,12,12,54.758926
1366,38,122,38,12,15,15,32,1,0,0,1,1,2,12,,58.670292
1368,45,107,31,16,11,1,33,1,0,1,1,2,2,16,16,64.399574
1371,40,128,50,18,8,13,36,1,0,0,0,1,2,16,12,67.08213
1375,40,96,24,13,3,3,30,1,0,0,1,3,1,11,8,61.347481
1375,40,103,34,12,12,7,29,1,0,0,1,4,2,12,10,45.715385
1377,37,118,48,16,15,1,36,1,0,0,1,2,2,11,10,64.604324
1384,50,104,42,13,8,7,31,1,0,1,0,3,1,13,14,60.868717
1384,50,114,48,18,12,2,37,1,0,0,1,1,1,12,13,67.445618
1386,40,97,38,10,17,9,37,1,0,1,1,1,2,12,8,31.115084
1386,42,109,43,16,10,11,34,1,0,1,0,1,1,4,14,65.615547
1391,50,109,38,12,14,8,32,1,1,1,1,1,2,11,9,53.987442
1394,40,118,41,16,11,8,30,1,0,0,0,2,1,13,12,65.54631
1400,42,108,38,17,7,3,31,1,0,0,1,2,1,12,14,66.826927
1400,40,116,43,16,14,2,35,1,1,0,1,1,2,8,,65.025803
1400,40,92,34,12,15,5,36,1,0,1,1,2,1,6,2,58.040047
1411,45,121,40,18,14,3,38,1,0,0,1,3,2,12,16,67.131119
1411,45,111,40,16,11,12,32,1,0,1,1,1,1,12,9,65.882957
1417,48,125,41,17,9,4,34,1,0,0,1,3,1,13,12,66.482979
1417,38,88,36,16,9,10,32,0,0,0,1,2,1,12,12,65.407211
